"SPECIES","YEAR","NSITES","NSITES_POS","TRMOBS_UKBMS"
"Comma",2011,1391,1004,1.97444209116463
"Comma",2012,1455,866,1.85323217532043
"Comma",2013,1610,1198,2.07688091253531
"Comma",2014,1718,1235,1.98749442144689
"Comma",2015,1862,1377,2.03734091136364
"Comma",2016,1920,1285,1.88938350581488
"Comma",2017,2085,1665,2.21199952481593
"Comma",2018,2199,1723,2.02095362111873
"Comma",2019,2331,1774,2.0027044586771
"Comma",2020,1977,1462,2.00129748928494
"Comma",2021,2330,1613,1.90753777273139
"Comma",2022,2459,1939,2.03673311572613
